C:\Users\charl\scoop\apps\corretto17-jdk\current\bin\java.exe -javaagent:C:\Users\charl\scoop\apps\idea\2024.3.1-243.22562.145\IDE\lib\idea_rt.jar=63487:C:\Users\charl\scoop\apps\idea\2024.3.1-243.22562.145\IDE\bin -Dfile.encoding=UTF-8 -classpath D:\git_wa\advent-of-code\target\scala-3.6.2\classes;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scala-lang\scala3-library_3\3.6.2\scala3-library_3-3.6.2.jar;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scalactic\scalactic_3\3.2.19\scalactic_3-3.2.19.jar;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scala-lang\scala-library\2.13.15\scala-library-2.13.15.jar aoc.aoc2024.day2.main
List(58, 59, 60, 59, 60) | 3 | Ascending | Safe(0): false | Safe(1): false
List(26, 26, 29, 30, 32, 36, 36) | 4 | Ascending | Safe(0): false | Safe(1): false
List(85, 85, 86, 90, 94) | 3 | Ascending | Safe(0): false | Safe(1): false
List(35, 35, 36, 40, 46) | 3 | Ascending | Safe(0): false | Safe(1): false
List(61, 61, 68, 70, 72, 73) | 4 | Ascending | Safe(0): false | Safe(1): false
List(71, 71, 74, 76, 79, 80, 87, 86) | 5 | Ascending | Safe(0): false | Safe(1): false
List(88, 88, 89, 92, 99, 99) | 3 | Descending | Safe(0): false | Safe(1): false
List(22, 22, 28, 30, 32, 35, 39) | 5 | Ascending | Safe(0): false | Safe(1): false
List(11, 11, 13, 19, 24) | 3 | Ascending | Safe(0): false | Safe(1): false
List(13, 17, 20, 23, 26, 29, 26) | 5 | Ascending | Safe(0): false | Safe(1): false
List(64, 68, 70, 71, 74, 74) | 4 | Ascending | Safe(0): false | Safe(1): false
List(80, 84, 85, 88, 90, 91, 94, 98) | 7 | Ascending | Safe(0): false | Safe(1): false
List(71, 75, 76, 78, 81, 83, 86, 93) | 7 | Ascending | Safe(0): false | Safe(1): false
List(34, 38, 41, 43, 40, 41, 43, 45) | 6 | Ascending | Safe(0): false | Safe(1): false
List(2, 6, 5, 8, 10, 9) | 3 | Descending | Safe(0): false | Safe(1): false
List(25, 29, 31, 29, 29) | 2 | Descending | Safe(0): false | Safe(1): false
List(64, 68, 69, 72, 69, 73) | 4 | Ascending | Safe(0): false | Safe(1): false
List(19, 23, 25, 24, 25, 32) | 4 | Ascending | Safe(0): false | Safe(1): false
List(65, 69, 69, 70, 71, 72, 75) | 5 | Ascending | Safe(0): false | Safe(1): false
List(84, 88, 91, 91, 94, 96, 97, 95) | 5 | Ascending | Safe(0): false | Safe(1): false
List(86, 90, 93, 93, 93) | 2 | Descending | Safe(0): false | Safe(1): false
List(30, 34, 36, 37, 40, 40, 44) | 5 | Ascending | Safe(0): false | Safe(1): false
List(69, 73, 76, 78, 78, 79, 84) | 5 | Ascending | Safe(0): false | Safe(1): false
List(79, 83, 85, 89, 90, 93, 95) | 6 | Ascending | Safe(0): false | Safe(1): false
List(4, 8, 11, 12, 16, 13) | 4 | Ascending | Safe(0): false | Safe(1): false
List(19, 23, 26, 30, 32, 33, 36, 36) | 6 | Ascending | Safe(0): false | Safe(1): false
List(23, 27, 28, 29, 33, 34, 38) | 6 | Ascending | Safe(0): false | Safe(1): false
List(10, 14, 18, 20, 21, 26) | 5 | Ascending | Safe(0): false | Safe(1): false
List(26, 30, 32, 38, 41) | 4 | Ascending | Safe(0): false | Safe(1): false
List(61, 65, 72, 74, 75, 76, 74) | 5 | Ascending | Safe(0): false | Safe(1): false
List(35, 39, 41, 46, 47, 48, 48) | 5 | Ascending | Safe(0): false | Safe(1): false
List(35, 39, 40, 41, 43, 46, 53, 57) | 7 | Ascending | Safe(0): false | Safe(1): false
List(57, 61, 68, 70, 75) | 4 | Ascending | Safe(0): false | Safe(1): false
List(59, 64, 67, 68, 71, 69) | 4 | Ascending | Safe(0): false | Safe(1): false
List(33, 38, 41, 43, 43) | 3 | Ascending | Safe(0): false | Safe(1): false
List(55, 60, 61, 64, 65, 66, 67, 71) | 7 | Ascending | Safe(0): false | Safe(1): false
List(41, 48, 50, 51, 52, 57) | 5 | Ascending | Safe(0): false | Safe(1): false
List(43, 50, 53, 56, 55, 57, 60, 63) | 6 | Ascending | Safe(0): false | Safe(1): false
List(89, 94, 96, 99, 96, 97, 99, 98) | 5 | Ascending | Safe(0): false | Safe(1): false
List(11, 16, 18, 21, 23, 26, 23, 23) | 5 | Ascending | Safe(0): false | Safe(1): false
List(54, 61, 64, 66, 67, 66, 70) | 5 | Ascending | Safe(0): false | Safe(1): false
List(28, 34, 35, 37, 36, 38, 40, 45) | 6 | Ascending | Safe(0): false | Safe(1): false
List(47, 54, 55, 58, 60, 60, 62, 64) | 6 | Ascending | Safe(0): false | Safe(1): false
List(77, 84, 87, 89, 90, 90, 92, 90) | 5 | Ascending | Safe(0): false | Safe(1): false
List(21, 26, 27, 27, 29, 29) | 3 | Descending | Safe(0): false | Safe(1): false
List(50, 55, 58, 58, 60, 62, 64, 68) | 6 | Ascending | Safe(0): false | Safe(1): false
List(10, 17, 18, 20, 20, 27) | 4 | Ascending | Safe(0): false | Safe(1): false
List(8, 14, 18, 19, 22, 23, 25, 27) | 7 | Ascending | Safe(0): false | Safe(1): false
List(31, 38, 41, 42, 46, 49, 48) | 5 | Ascending | Safe(0): false | Safe(1): false
List(58, 64, 66, 70, 73, 76, 76) | 5 | Ascending | Safe(0): false | Safe(1): false
List(26, 32, 35, 38, 42, 46) | 5 | Ascending | Safe(0): false | Safe(1): false
List(61, 68, 72, 75, 80) | 4 | Ascending | Safe(0): false | Safe(1): false
List(21, 26, 28, 30, 33, 38, 39) | 6 | Ascending | Safe(0): false | Safe(1): false
List(30, 36, 38, 44, 46, 49, 47) | 5 | Ascending | Safe(0): false | Safe(1): false
List(2, 7, 8, 14, 14) | 3 | Ascending | Safe(0): false | Safe(1): false
List(39, 44, 47, 49, 52, 59, 62, 66) | 7 | Ascending | Safe(0): false | Safe(1): false
List(64, 71, 73, 80, 85) | 4 | Ascending | Safe(0): false | Safe(1): false
List(94, 92, 89, 86, 89, 88) | 1 | Descending | Safe(0): false | Safe(1): false
List(71, 70, 72, 69, 70) | 2 | Descending | Safe(0): false | Safe(1): false
List(50, 49, 48, 51, 49, 46, 46) | 1 | Descending | Safe(0): false | Safe(1): false
List(20, 19, 18, 21, 18, 12) | 1 | Descending | Safe(0): false | Safe(1): false
List(50, 47, 45, 44, 42, 42, 45) | 1 | Descending | Safe(0): false | Safe(1): false
List(59, 57, 55, 55, 54, 51, 51) | 0 | Descending | Safe(0): false | Safe(1): false
List(54, 51, 51, 48, 46, 45, 41) | 0 | Descending | Safe(0): false | Safe(1): false
List(93, 90, 88, 87, 85, 85, 80) | 0 | Descending | Safe(0): false | Safe(1): false
List(20, 17, 14, 10, 9, 7, 4) | 0 | Descending | Safe(0): false | Safe(1): false
List(43, 41, 37, 36, 33, 33) | 0 | Descending | Safe(0): false | Safe(1): false
List(97, 94, 90, 87, 86, 82) | 0 | Descending | Safe(0): false | Safe(1): false
List(15, 13, 9, 8, 2) | 0 | Descending | Safe(0): false | Safe(1): false
List(88, 86, 84, 82, 75, 74, 72, 69) | 0 | Descending | Safe(0): false | Safe(1): false
List(64, 63, 58, 56, 54, 57) | 1 | Descending | Safe(0): false | Safe(1): false
List(12, 10, 5, 3, 2, 2) | 0 | Descending | Safe(0): false | Safe(1): false
List(65, 63, 61, 60, 59, 54, 50) | 0 | Descending | Safe(0): false | Safe(1): false
List(44, 41, 36, 33, 28) | 0 | Descending | Safe(0): false | Safe(1): false
List(78, 81, 79, 77, 78) | 2 | Descending | Safe(0): false | Safe(1): false
List(21, 24, 23, 22, 21, 19, 16, 16) | 1 | Descending | Safe(0): false | Safe(1): false
List(72, 73, 70, 68, 65, 61) | 1 | Descending | Safe(0): false | Safe(1): false
List(27, 30, 28, 25, 24, 23, 18) | 1 | Descending | Safe(0): false | Safe(1): false
List(48, 50, 49, 47, 50, 48, 47) | 2 | Descending | Safe(0): false | Safe(1): false
List(93, 96, 99, 96, 99) | 3 | Ascending | Safe(0): false | Safe(1): false
List(14, 16, 15, 16, 13, 10, 7, 7) | 2 | Descending | Safe(0): false | Safe(1): false
List(77, 79, 77, 74, 77, 76, 72) | 2 | Descending | Safe(0): false | Safe(1): false
List(57, 59, 56, 58, 56, 54, 47) | 2 | Descending | Safe(0): false | Safe(1): false
List(74, 77, 75, 75, 72) | 1 | Descending | Safe(0): false | Safe(1): false
List(20, 22, 20, 18, 17, 17, 14, 15) | 2 | Descending | Safe(0): false | Safe(1): false
List(57, 59, 58, 56, 56, 56) | 1 | Descending | Safe(0): false | Safe(1): false
List(41, 43, 42, 40, 38, 38, 35, 31) | 1 | Descending | Safe(0): false | Safe(1): false
List(96, 98, 97, 96, 96, 95, 88) | 1 | Descending | Safe(0): false | Safe(1): false
List(56, 58, 57, 53, 50, 48) | 1 | Descending | Safe(0): false | Safe(1): false
List(76, 77, 75, 71, 73) | 2 | Descending | Safe(0): false | Safe(1): false
List(82, 84, 80, 77, 74, 73, 70, 70) | 1 | Descending | Safe(0): false | Safe(1): false
List(66, 67, 66, 62, 58) | 1 | Descending | Safe(0): false | Safe(1): false
List(46, 47, 43, 41, 39, 33) | 1 | Descending | Safe(0): false | Safe(1): false
List(58, 60, 59, 57, 51, 50, 48) | 1 | Descending | Safe(0): false | Safe(1): false
List(64, 65, 62, 55, 52, 53) | 2 | Descending | Safe(0): false | Safe(1): false
List(37, 38, 37, 31, 29, 26, 26) | 1 | Descending | Safe(0): false | Safe(1): false
List(43, 44, 39, 38, 35, 31) | 1 | Descending | Safe(0): false | Safe(1): false
List(79, 80, 75, 73, 67) | 1 | Descending | Safe(0): false | Safe(1): false
List(65, 65, 64, 63, 62, 63) | 1 | Descending | Safe(0): false | Safe(1): false
List(60, 60, 59, 58, 56, 56) | 0 | Descending | Safe(0): false | Safe(1): false
List(83, 83, 81, 78, 76, 74, 73, 69) | 0 | Descending | Safe(0): false | Safe(1): false
List(23, 23, 20, 18, 13) | 0 | Descending | Safe(0): false | Safe(1): false
List(10, 10, 13, 12, 10) | 1 | Descending | Safe(0): false | Safe(1): false
List(69, 69, 68, 69, 67, 66, 67) | 2 | Descending | Safe(0): false | Safe(1): false
List(13, 13, 11, 14, 13, 10, 8, 8) | 1 | Descending | Safe(0): false | Safe(1): false
List(78, 78, 75, 77, 76, 73, 72, 68) | 1 | Descending | Safe(0): false | Safe(1): false
List(79, 79, 76, 73, 75, 69) | 1 | Descending | Safe(0): false | Safe(1): false
List(89, 89, 89, 88, 86, 84, 82, 81) | 0 | Descending | Safe(0): false | Safe(1): false
List(62, 62, 59, 59, 56, 57) | 1 | Descending | Safe(0): false | Safe(1): false
List(80, 80, 77, 76, 76, 76) | 0 | Descending | Safe(0): false | Safe(1): false
List(99, 99, 97, 94, 94, 90) | 0 | Descending | Safe(0): false | Safe(1): false
List(62, 62, 59, 56, 53, 53, 48) | 0 | Descending | Safe(0): false | Safe(1): false
List(69, 69, 65, 62, 61, 59, 58) | 0 | Descending | Safe(0): false | Safe(1): false
List(13, 13, 12, 11, 8, 4, 5) | 1 | Descending | Safe(0): false | Safe(1): false
List(69, 69, 67, 66, 64, 60, 60) | 0 | Descending | Safe(0): false | Safe(1): false
List(56, 56, 53, 52, 48, 44) | 0 | Descending | Safe(0): false | Safe(1): false
List(61, 61, 57, 56, 50) | 0 | Descending | Safe(0): false | Safe(1): false
List(61, 61, 60, 59, 53, 51) | 0 | Descending | Safe(0): false | Safe(1): false
List(82, 82, 81, 78, 77, 70, 67, 69) | 1 | Descending | Safe(0): false | Safe(1): false
List(90, 90, 88, 85, 79, 77, 77) | 0 | Descending | Safe(0): false | Safe(1): false
List(91, 91, 86, 85, 81) | 0 | Descending | Safe(0): false | Safe(1): false
List(25, 25, 23, 20, 17, 12, 11, 5) | 0 | Descending | Safe(0): false | Safe(1): false
List(34, 30, 29, 28, 26, 25, 22, 24) | 1 | Descending | Safe(0): false | Safe(1): false
List(29, 25, 24, 21, 20, 17, 14, 14) | 0 | Descending | Safe(0): false | Safe(1): false
List(50, 46, 44, 41, 40, 36) | 0 | Descending | Safe(0): false | Safe(1): false
List(52, 48, 46, 43, 38) | 0 | Descending | Safe(0): false | Safe(1): false
List(45, 41, 38, 37, 36, 37, 39) | 2 | Descending | Safe(0): false | Safe(1): false
List(85, 81, 79, 78, 79, 79) | 1 | Descending | Safe(0): false | Safe(1): false
List(38, 34, 33, 31, 32, 30, 29, 25) | 1 | Descending | Safe(0): false | Safe(1): false
List(80, 76, 74, 75, 68) | 1 | Descending | Safe(0): false | Safe(1): false
List(48, 44, 44, 41, 39, 37, 34) | 0 | Descending | Safe(0): false | Safe(1): false
List(46, 42, 39, 36, 35, 35, 32, 33) | 1 | Descending | Safe(0): false | Safe(1): false
List(61, 57, 54, 52, 52, 50, 50) | 0 | Descending | Safe(0): false | Safe(1): false
List(63, 59, 57, 56, 56, 52) | 0 | Descending | Safe(0): false | Safe(1): false
List(31, 27, 26, 26, 23, 18) | 0 | Descending | Safe(0): false | Safe(1): false
List(42, 38, 34, 33, 32, 29, 27) | 0 | Descending | Safe(0): false | Safe(1): false
List(37, 33, 31, 28, 25, 21, 18, 21) | 1 | Descending | Safe(0): false | Safe(1): false
List(57, 53, 50, 46, 46) | 0 | Descending | Safe(0): false | Safe(1): false
List(24, 20, 18, 14, 13, 9) | 0 | Descending | Safe(0): false | Safe(1): false
List(73, 69, 68, 65, 64, 61, 57, 50) | 0 | Descending | Safe(0): false | Safe(1): false
List(74, 70, 68, 65, 64, 63, 57, 54) | 0 | Descending | Safe(0): false | Safe(1): false
List(89, 85, 84, 78, 80) | 1 | Descending | Safe(0): false | Safe(1): false
List(54, 50, 44, 42, 42) | 0 | Descending | Safe(0): false | Safe(1): false
List(31, 27, 22, 19, 15) | 0 | Descending | Safe(0): false | Safe(1): false
List(35, 31, 24, 22, 20, 17, 10) | 0 | Descending | Safe(0): false | Safe(1): false
List(36, 31, 30, 29, 27, 26, 29) | 1 | Descending | Safe(0): false | Safe(1): false
List(30, 23, 20, 19, 19) | 0 | Descending | Safe(0): false | Safe(1): false
List(27, 22, 21, 20, 16) | 0 | Descending | Safe(0): false | Safe(1): false
List(74, 68, 67, 64, 62, 55) | 0 | Descending | Safe(0): false | Safe(1): false
List(12, 5, 3, 6, 5) | 1 | Descending | Safe(0): false | Safe(1): false
List(54, 48, 51, 49, 46, 44, 45) | 2 | Descending | Safe(0): false | Safe(1): false
List(24, 18, 19, 16, 13, 13) | 1 | Descending | Safe(0): false | Safe(1): false
List(28, 22, 19, 22, 19, 18, 14) | 1 | Descending | Safe(0): false | Safe(1): false
List(61, 55, 52, 53, 48) | 1 | Descending | Safe(0): false | Safe(1): false
List(88, 82, 80, 80, 78, 75, 73) | 0 | Descending | Safe(0): false | Safe(1): false
List(93, 87, 86, 86, 87) | 1 | Descending | Safe(0): false | Safe(1): false
List(18, 11, 8, 8, 5, 3, 2, 2) | 0 | Descending | Safe(0): false | Safe(1): false
List(87, 80, 79, 78, 77, 77, 73) | 0 | Descending | Safe(0): false | Safe(1): false
List(47, 41, 40, 40, 33) | 0 | Descending | Safe(0): false | Safe(1): false
List(96, 89, 85, 83, 82) | 0 | Descending | Safe(0): false | Safe(1): false
List(56, 51, 50, 46, 44, 47) | 1 | Descending | Safe(0): false | Safe(1): false
List(82, 76, 74, 70, 68, 66, 65, 65) | 0 | Descending | Safe(0): false | Safe(1): false
List(41, 36, 33, 31, 27, 25, 23, 19) | 0 | Descending | Safe(0): false | Safe(1): false
List(77, 72, 70, 66, 63, 61, 56) | 0 | Descending | Safe(0): false | Safe(1): false
List(48, 41, 40, 34, 31, 30) | 0 | Descending | Safe(0): false | Safe(1): false
List(80, 74, 69, 66, 65, 63, 65) | 1 | Descending | Safe(0): false | Safe(1): false
List(55, 50, 44, 43, 40, 38, 35, 35) | 0 | Descending | Safe(0): false | Safe(1): false
List(81, 74, 71, 69, 66, 59, 56, 52) | 0 | Descending | Safe(0): false | Safe(1): false
List(56, 51, 48, 43, 36) | 0 | Descending | Safe(0): false | Safe(1): false
List(42, 43, 41, 43, 44) | 3 | Ascending | Safe(0): false | Safe(1): false
List(46, 48, 49, 52, 53, 54, 52, 49) | 5 | Ascending | Safe(0): false | Safe(1): false
List(79, 81, 82, 79, 82, 82) | 3 | Descending | Safe(0): false | Safe(1): false
List(16, 18, 19, 18, 21, 24, 28) | 5 | Ascending | Safe(0): false | Safe(1): false
List(32, 33, 35, 37, 40, 39, 40, 45) | 6 | Ascending | Safe(0): false | Safe(1): false
List(5, 8, 10, 10, 12, 9) | 3 | Descending | Safe(0): false | Safe(1): false
List(53, 55, 58, 58, 60, 61, 62, 62) | 5 | Ascending | Safe(0): false | Safe(1): false
List(83, 85, 88, 90, 91, 94, 94, 98) | 6 | Ascending | Safe(0): false | Safe(1): false
List(31, 32, 34, 35, 35, 38, 41, 48) | 6 | Ascending | Safe(0): false | Safe(1): false
List(11, 12, 16, 17, 20, 21, 23, 24) | 7 | Ascending | Safe(0): false | Safe(1): false
List(22, 25, 29, 30, 31, 32, 29) | 5 | Ascending | Safe(0): false | Safe(1): false
List(57, 59, 61, 65, 65) | 3 | Ascending | Safe(0): false | Safe(1): false
List(39, 41, 42, 46, 49, 52, 56) | 6 | Ascending | Safe(0): false | Safe(1): false
List(37, 38, 42, 44, 50) | 4 | Ascending | Safe(0): false | Safe(1): false
List(38, 40, 43, 46, 53, 54) | 5 | Ascending | Safe(0): false | Safe(1): false
List(59, 62, 68, 70, 68) | 3 | Ascending | Safe(0): false | Safe(1): false
List(29, 30, 37, 38, 39, 39) | 4 | Ascending | Safe(0): false | Safe(1): false
List(74, 75, 76, 83, 87) | 4 | Ascending | Safe(0): false | Safe(1): false
List(36, 39, 46, 48, 51, 57) | 5 | Ascending | Safe(0): false | Safe(1): false
List(9, 7, 10, 12, 9) | 2 | Descending | Safe(0): false | Safe(1): false
List(49, 46, 48, 49, 50, 50) | 3 | Descending | Safe(0): false | Safe(1): false
List(53, 52, 55, 56, 57, 58, 62) | 5 | Ascending | Safe(0): false | Safe(1): false
List(50, 48, 51, 54, 61) | 3 | Ascending | Safe(0): false | Safe(1): false
List(88, 87, 88, 90, 92, 89, 91) | 4 | Ascending | Safe(0): false | Safe(1): false
List(82, 80, 83, 85, 84, 81) | 2 | Descending | Safe(0): false | Safe(1): false
List(77, 75, 74, 75, 77, 77) | 2 | Descending | Safe(0): false | Safe(1): false
List(18, 15, 17, 19, 17, 20, 24) | 4 | Ascending | Safe(0): false | Safe(1): false
List(70, 69, 71, 69, 71, 73, 78) | 4 | Ascending | Safe(0): false | Safe(1): false
List(10, 7, 9, 10, 12, 12, 14, 16) | 5 | Ascending | Safe(0): false | Safe(1): false
List(74, 73, 76, 78, 78, 80, 78) | 3 | Descending | Safe(0): false | Safe(1): false
List(44, 42, 42, 44, 44) | 1 | Descending | Safe(0): false | Safe(1): false
List(80, 79, 79, 80, 84) | 2 | Descending | Safe(0): false | Safe(1): false
List(62, 59, 61, 62, 64, 65, 65, 70) | 5 | Ascending | Safe(0): false | Safe(1): false
List(79, 78, 82, 83, 81) | 2 | Descending | Safe(0): false | Safe(1): false
List(72, 70, 71, 75, 77, 80, 80) | 4 | Ascending | Safe(0): false | Safe(1): false
List(11, 9, 12, 14, 18, 22) | 4 | Ascending | Safe(0): false | Safe(1): false
List(51, 48, 52, 53, 60) | 3 | Ascending | Safe(0): false | Safe(1): false
List(65, 64, 67, 72, 75) | 3 | Ascending | Safe(0): false | Safe(1): false
List(61, 58, 61, 62, 69, 72, 70) | 4 | Ascending | Safe(0): false | Safe(1): false
List(41, 38, 41, 42, 48, 49, 51, 51) | 5 | Ascending | Safe(0): false | Safe(1): false
List(61, 60, 62, 69, 71, 75) | 4 | Ascending | Safe(0): false | Safe(1): false
List(10, 9, 15, 17, 18, 24) | 4 | Ascending | Safe(0): false | Safe(1): false
List(66, 66, 68, 70, 71, 70) | 3 | Descending | Safe(0): false | Safe(1): false
List(51, 51, 53, 56, 58, 61, 62, 62) | 5 | Ascending | Safe(0): false | Safe(1): false
List(43, 43, 46, 49, 53) | 3 | Ascending | Safe(0): false | Safe(1): false
List(78, 78, 79, 81, 83, 86, 88, 93) | 6 | Ascending | Safe(0): false | Safe(1): false
List(69, 69, 70, 73, 76, 78, 75, 77) | 5 | Ascending | Safe(0): false | Safe(1): false
List(1, 1, 3, 5, 6, 7, 6, 5) | 4 | Descending | Safe(0): false | Safe(1): false
List(41, 41, 40, 43, 43) | 1 | Descending | Safe(0): false | Safe(1): false
List(51, 51, 53, 51, 55) | 2 | Descending | Safe(0): false | Safe(1): false
List(57, 57, 55, 56, 61) | 2 | Descending | Safe(0): false | Safe(1): false
List(82, 82, 83, 84, 86, 86, 88) | 4 | Ascending | Safe(0): false | Safe(1): false
List(89, 89, 92, 92, 91) | 1 | Descending | Safe(0): false | Safe(1): false
List(66, 66, 69, 69, 69) | 1 | Descending | Safe(0): false | Safe(1): false
List(69, 69, 71, 74, 75, 75, 77, 81) | 5 | Ascending | Safe(0): false | Safe(1): false
List(41, 41, 41, 44, 47, 50, 51, 57) | 5 | Ascending | Safe(0): false | Safe(1): false
List(12, 12, 15, 19, 20) | 3 | Ascending | Safe(0): false | Safe(1): false
List(57, 57, 61, 63, 60) | 2 | Descending | Safe(0): false | Safe(1): false
List(53, 53, 56, 59, 63, 63) | 3 | Descending | Safe(0): false | Safe(1): false
